# File data events on timelines in the model
# No.   Airport    AircraftType     EventDate_EventTime
1  BMV  01  001_09h35
2  BMV  01  001_09h40
3  BMV  01  001_17h45
4  BMV  01  001_17h50
5  BMV  01  001_19h30
6  BMV  01  001_19h35
7  BMV  02  001_09h35
8  BMV  02  001_09h40
9  BMV  02  001_17h45
10  BMV  02  001_17h50
11  BMV  02  001_19h30
12  BMV  02  001_19h35
13  BMV  03  001_09h35
14  BMV  03  001_09h40
15  BMV  03  001_17h45
16  BMV  03  001_17h50
17  BMV  03  001_19h30
18  BMV  03  001_19h35
19  BMV  04  001_09h35
20  BMV  04  001_17h45
21  BMV  04  001_17h50
22  BMV  04  001_19h35
23  BMV  05  001_09h35
24  BMV  05  001_17h45
25  BMV  05  001_17h50
26  BMV  05  001_19h35
27  CAH  01  001_07h15
28  CAH  01  001_07h40
29  CAH  02  001_07h15
30  CAH  02  001_07h40
31  CAH  03  001_07h15
32  CAH  03  001_07h40
33  CAH  04  001_07h15
34  CAH  04  001_07h40
35  CAH  05  001_07h15
36  CAH  05  001_07h40
37  CXR  01  001_07h00
38  CXR  01  001_07h15
39  CXR  01  001_08h00
40  CXR  01  001_08h55
41  CXR  01  001_09h00
42  CXR  01  001_11h15
43  CXR  01  001_11h20
44  CXR  01  001_12h40
45  CXR  01  001_14h15
46  CXR  01  001_14h20
47  CXR  01  001_14h30
48  CXR  01  001_15h05
49  CXR  01  001_15h10
50  CXR  01  001_16h45
51  CXR  01  001_18h20
52  CXR  01  001_18h25
53  CXR  01  001_19h10
54  CXR  01  001_19h15
55  CXR  01  001_20h30
56  CXR  01  001_20h35
57  CXR  02  001_07h00
58  CXR  02  001_07h15
59  CXR  02  001_08h00
60  CXR  02  001_08h55
61  CXR  02  001_09h00
62  CXR  02  001_11h15
63  CXR  02  001_11h20
64  CXR  02  001_12h40
65  CXR  02  001_14h15
66  CXR  02  001_14h20
67  CXR  02  001_14h30
68  CXR  02  001_15h05
69  CXR  02  001_15h10
70  CXR  02  001_16h45
71  CXR  02  001_18h20
72  CXR  02  001_18h25
73  CXR  02  001_19h10
74  CXR  02  001_19h15
75  CXR  02  001_20h30
76  CXR  02  001_20h35
77  CXR  03  001_07h00
78  CXR  03  001_07h15
79  CXR  03  001_08h00
80  CXR  03  001_08h55
81  CXR  03  001_09h00
82  CXR  03  001_11h15
83  CXR  03  001_11h20
84  CXR  03  001_12h40
85  CXR  03  001_14h15
86  CXR  03  001_14h20
87  CXR  03  001_14h30
88  CXR  03  001_15h05
89  CXR  03  001_15h10
90  CXR  03  001_16h45
91  CXR  03  001_18h20
92  CXR  03  001_18h25
93  CXR  03  001_19h10
94  CXR  03  001_19h15
95  CXR  03  001_20h30
96  CXR  03  001_20h35
97  CXR  04  001_07h00
98  CXR  04  001_07h15
99  CXR  04  001_08h00
100  CXR  04  001_08h55
101  CXR  04  001_09h00
102  CXR  04  001_11h15
103  CXR  04  001_11h20
104  CXR  04  001_12h40
105  CXR  04  001_14h15
106  CXR  04  001_14h20
107  CXR  04  001_14h30
108  CXR  04  001_15h05
109  CXR  04  001_15h10
110  CXR  04  001_16h45
111  CXR  04  001_18h20
112  CXR  04  001_18h25
113  CXR  04  001_19h10
114  CXR  04  001_19h15
115  CXR  04  001_20h30
116  CXR  04  001_20h35
117  CXR  05  001_07h00
118  CXR  05  001_07h15
119  CXR  05  001_08h00
120  CXR  05  001_08h55
121  CXR  05  001_09h00
122  CXR  05  001_11h15
123  CXR  05  001_11h20
124  CXR  05  001_12h40
125  CXR  05  001_14h15
126  CXR  05  001_14h20
127  CXR  05  001_14h30
128  CXR  05  001_15h05
129  CXR  05  001_15h10
130  CXR  05  001_16h45
131  CXR  05  001_18h20
132  CXR  05  001_18h25
133  CXR  05  001_19h10
134  CXR  05  001_19h15
135  CXR  05  001_20h30
136  CXR  05  001_20h35
137  DAD  01  001_08h00
138  DAD  01  001_08h05
139  DAD  01  001_08h45
140  DAD  01  001_08h50
141  DAD  01  001_09h00
142  DAD  01  001_09h05
143  DAD  01  001_10h00
144  DAD  01  001_11h00
145  DAD  01  001_11h05
146  DAD  01  001_12h00
147  DAD  01  001_12h05
148  DAD  01  001_12h30
149  DAD  01  001_12h35
150  DAD  01  001_13h00
151  DAD  01  001_13h05
152  DAD  01  001_14h00
153  DAD  01  001_14h05
154  DAD  01  001_15h00
155  DAD  01  001_15h05
156  DAD  01  001_15h30
157  DAD  01  001_15h55
158  DAD  01  001_16h00
159  DAD  01  001_16h05
160  DAD  01  001_17h00
161  DAD  01  001_17h05
162  DAD  01  001_17h35
163  DAD  01  001_18h00
164  DAD  01  001_18h05
165  DAD  01  001_19h00
166  DAD  01  001_19h05
167  DAD  01  001_19h20
168  DAD  01  001_19h35
169  DAD  01  001_20h00
170  DAD  01  001_20h05
171  DAD  01  001_20h30
172  DAD  01  001_22h05
173  DAD  02  001_08h00
174  DAD  02  001_08h05
175  DAD  02  001_08h45
176  DAD  02  001_08h50
177  DAD  02  001_09h00
178  DAD  02  001_09h05
179  DAD  02  001_10h00
180  DAD  02  001_11h00
181  DAD  02  001_11h05
182  DAD  02  001_12h00
183  DAD  02  001_12h05
184  DAD  02  001_12h30
185  DAD  02  001_12h35
186  DAD  02  001_13h00
